OBJECTID	COMPOUND_KEY_12	FELTNR	STATION_NAME	AREAL_NOR	AREAL_UTM33	MERKNAD	NODE_TETTH	REG_DATO	REGULERT	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	VINKEL_TERR	JORDBRUKPRO	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO	INTENS_MAX	NORM_AAR	UTMSONE_TPKT	UTM_OST_TPKT	UTM_NORD_TPKT	UTMSONE_INNL	UTM_OST_INNL	UTM_NORD_INNL	SUM_AREALPRO	VASSOMR
4405	7700003000	1353	Sogndalsvatn	110.93	110.93	 	0	20121213	0	330.9437768	49.06	297.8427978	395	492	655	784	896	1000	1093	1196	1284	1400	1600	14.7452631	1.514859527	282.14	1.32	1.33	0	2.298001947	20.2	6.18	4.11	58.59	0	0	0	33	67763	6828013	33	70583	6834573	91.98	77
4429	12200011000	1661	Eggafoss	654.24	654.24	 	0	20040202	0	14.46978369	28.58	15.0539315	285	623	717	775	811	844	878	918	964	1021	1284	32.9748282	45.428	325.1	2.11	12.57	0	0.153651415	24.55	0	2.84	43.96	0.04	0	0	33	312226	6967914	33	335605	6964587	86.07	122
4465	21200010000	2148	Masi	5543.98	5620.81	 	0	20111209	0	1.313473831	14.53	1.665605796	0	370	390	413	434	450	471	494	525	595	1085	92.41896286	154.2982143	333.81	0.05	16.97	0	0.278649463	35.4	0	7.16	31.06	0.01	0	0	33	821415	7687199	33	801832	7738734	90.65	212
4473	1200215000	529	Storeskar	119.43	119.43	 	0	20110307	0	-999	25.5	-999	895	1006	1118	1206	1279	1346	1399	1456	1510	1587	1814	18.64056342	-999	264.42	0.24	4.04	0	0.343912139	5.94	0	3.54	80.91	0	0	0	33	130677	6772272	33	121527	6775297	94.67	12
4510	17300008000	2016	Coarveij	34.63589936	62.83	 	0	20111209	0	13.94005797	0	20.15792556	908	930	949	967	988	1021	1074	1139	1225	1329	1579	9.846997846	13.29501884	0	0	0	0	13.62687674	0	4.22	13.97	81.66	0	0	0	0	0	0	0	0	0	99.85	173
4524	10700003000	1564	Farstad	24.23	24.23	 	0	20090929	0	3.33	23.09	28.43	11	28	30	37	44	56	119	310	418	477	794	9.22	10.81	330.83	31.08	9.99	0	2.787967233	19.89	0	4.58	13.87	0.21	0	0	33	105180	7003134	33	107047	7000874	79.62	107
4534	16100007000	1918	Tollåga	225.05	225.05	 	0	20100921	0	15.15084654	18.85	14.73368342	374	561	637	666	716	795	871	922	980	1035	1411	27.83676314	45.322	272.2	0.09	2.84	0	0.014799109	12.09	0.11	2.05	71.87	0	0	0	33	494655	7405787	33	490803	7393995	89.05	161
4575	10400023000	1560	Vistdal	66.52	66.52	 	0	20090929	0	58.78	44.64	64.76	46	254	454	575	655	737	792	860	946	1070	1516	11.43	14.47	326.86	2.06	4.12	0	0.156486551	31.93	0	2.27	55.23	0	0	0	33	141267	6966688	33	143165	6960720	95.61	104
4577	200032000	43	Atnasjø	463.2	463.2	 	0	20110118	0	9.6	28.08	12.48	701	804	924	1022	1119	1205	1274	1360	1469	1595	2169	33.95	59.76	318.64	0.43	2.48	0	1.09	20.11	0	1.8	68.73	0	0	0	33	234972	6876314	33	221034	6874062	93.55	2
4583	3500016000	1003	Djupadalsvatn	45.34	45.34	 	0	20040202	0	38.79	25.65	35.23	338	386	456	522	589	626	681	736	787	894	1128	13.2	20.22	252.26	0	3.79	0	3.54	33.08	0	10	46.1	0	0	0	33	15813	6602790	33	22296	6599948	92.97	35
