"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_corr" "Month" "R_sig"
"191.2" 0.0822344948569829 0.218469674552055 0.253969416929304 0.418278106762073 0.536534218221848 0.583083279349655 0.661931334229974 0.661931334229974 7 0.382616137913506
"196.35" 0.214171530789166 0.271449962109587 0.291150001681179 0.380533319931599 0.438926776236522 0.42148775304265 0.510781028440999 0.510781028440999 7 0.22621727456275
"2.11" 0.0444853308533214 0.128658689871073 0.178086740530417 0.243824977162715 0.437866777630373 0.729673062512751 0.258695633287055 0.729673062512751 6 0.382616137913506
"2.142" 0.412208111008494 0.410517210604194 0.410821786197005 0.428475200209046 0.644113608028179 0.108912438874453 0.198298405900688 0.644113608028179 5 0.22621727456275
"2.145" -0.06198960417401 -0.0538693619106823 0.0707198450366479 0.124707284638016 0.0413373333442002 0.367079519184688 0.691542877367006 0.691542877367006 7 0.382616137913506
"2.265" 0.0567048945828812 0.11425966845666 0.153098189372732 0.266459815344216 0.395147848508903 0.580704546894922 0.172887857137822 0.580704546894922 6 0.22621727456275
"2.268" -0.077664430343042 -0.0672144063381676 -0.00622524311444578 0.0558071407095116 -0.0754207534577178 0.144249262685301 0.391698328317731 0.391698328317731 7 0.382616137913506
"2.279" 0.257081277494201 0.385894809979989 0.36642903528291 0.430323006879351 0.606495635108962 0.365063273999511 0.277254678791135 0.606495635108962 5 0.22621727456275
"2.28" 0.306269125840511 0.228777169697705 0.274593514070369 0.32555234823505 0.377710708726154 0.458754338422118 0.039908394982133 0.458754338422118 6 0.382616137913506
"2.291" 0.290361158211644 0.248892375445689 0.287357259424314 0.319290300801418 0.326819588668538 0.38209633232407 0.580625297051368 0.580625297051368 7 0.22621727456275
"2.32" -0.0294475493227808 -0.12620022725335 -0.0905856907855503 -0.0100052767670922 0.0753377422011184 0.503608054624719 0.260287620827072 0.503608054624719 6 0.382616137913506
"2.323" 0.00576347820815053 -0.0135936927539554 -0.0382278781936862 -9.98804549484624e-05 0.152370866730913 -0.0251534450805461 0.0499605058568581 0.152370866730913 5 0.22621727456275
"2.604" 0.12315967446536 0.088856779281875 0.15426562245246 0.252905517629785 0.379152535540094 0.770054220799077 0.197912494481857 0.770054220799077 6 0.382616137913506
"2.614" -0.0177060181002977 -0.0912900351938885 -0.021173260124558 0.0304734521413784 0.0842949725866194 0.383626605192079 0.638681526168165 0.638681526168165 7 0.22621727456275
"2.633" 0.0900039395711046 0.386926608955468 0.569769109463171 0.623629255050736 0.0723774291345379 0.060809502440638 0.531332454575808 0.623629255050736 4 0.382616137913506
"20.2" 0.196302744269194 0.354979181904938 0.335553534990783 0.446740936995665 0.604991558210898 0.464001689550654 0.236859142650876 0.604991558210898 5 0.22621727456275
"200.4" -0.0799104864571506 0.0427569722611131 0.128218470080973 0.187087708051263 0.340224937519263 0.497753739830806 0.469610887621751 0.497753739830806 6 0.382616137913506
"203.2" 0.0211391922387403 0.239846719074033 0.259750759393219 0.371568865961244 0.412648673069869 0.580717686998128 0.185839292108622 0.580717686998128 6 0.22621727456275
"206.3" 0.195942862011016 0.269782697532946 0.383700062254355 0.347119120017482 0.331600047178881 0.396738423390769 0.750973739780137 0.750973739780137 7 0.382616137913506
"208.3" 0.233909966403941 0.218213453213451 0.12569934615573 0.192135113992236 0.386819576510735 0.604376503154487 0.77919104897468 0.77919104897468 7 0.22621727456275
"21.47" -0.235412790755464 -0.152220140986777 -0.073737426426397 -0.0273755296757701 -0.0160312207417181 0.353497763957483 0.0922486088963571 0.353497763957483 6 0.382616137913506
"212.10" 0.130276859022863 0.109795838921186 0.0505546619650874 0.0628160304627326 0.330878779539522 0.745162173099324 0.498108505561241 0.745162173099324 6 0.22621727456275
"212.49" 0.0799488965545529 0.0621302009664704 0.0687816407674056 0.0634717052132414 0.189579500158425 0.469905083602332 0.774604164888178 0.774604164888178 7 0.382616137913506
"22.22" -0.102908742783967 0.428152709784943 0.163331992852965 0.200601199041103 0.1172546733848 -0.0486637088662754 0.112517507157216 0.428152709784943 2 0.22621727456275
"22.4" 0.0255654879000904 0.276116262514863 0.275333459924367 0.201913273917443 0.27816268428394 0.303847085225848 0.291416046963398 0.303847085225848 6 0.382616137913506
"223.2" 0.201824440204337 0.249896589777574 0.270768378794722 0.383866315967354 0.559119495824601 0.735043274334364 0.778187943720758 0.778187943720758 7 0.22621727456275
"230.1" -0.0575101918145774 -0.122812927607217 -0.0306551782909416 0.0366256555055714 0.220881986800226 0.688761650930898 0.462510660851354 0.688761650930898 6 0.382616137913506
"234.13" 0.232483725500242 0.250744938998143 0.304778777154115 0.317489978277667 0.544305154535504 0.879195221713282 0.494007332470342 0.879195221713282 6 0.22621727456275
